NAME OF GAME,TOTAL SALES,PRICE (USD),POSITIVE,NEGATIVE,TOTAL REVIEWS,PERCENTAGE,GENRE,,FOS
Portal 2,20000000,9.99,124837,1677,126514,98.7,Adventure,,21
Factorio,2000000,30,37481,578,38059,98.5,Simulation,,0
The Witcher 3: Wild Hunt,5000000,39.99,161135,3926,165061,97.6,Action,,35
The Binding of Isaac: Rebirth,2000000,14.99,67106,1686,68792,97.5,Adventure,,29
Counter-Strike,20000000,9.99,114142,2927,117069,97.5,Action,FPS,18
Mount & Blade: Warband,5000000,19.99,69066,2001,71067,97.2,Action,,32
Stardew Valley,5000000,14.99,97201,2948,100149,97.1,RPG,Simulation,11
Terraria,10000000,9.99,227477,6944,234421,97,RPG,Simulation,27
Euro Truck Simulator 2,5000000,19.99,146803,4707,151510,96.9,Simulation,Driving,38
Left 4 Dead 2,20000000,9.99,229523,7525,237048,96.8,Action,,23
Borderlands 2,10000000,19.99,128219,4611,132830,96.5,Action,,36
Don't Starve Together,10000000,14.99,91151,3442,94593,96.4,Survival,,29
Sid Meier's Civilization V,10000000,29.99,122308,4771,127079,96.2,Simulation,,35
Garry's Mod,20000000,9.99,335190,15152,350342,95.7,Sandbox,,25
Slay the Spire,1000000,15.99,16214,760,16974,95.5,Card Game,,3
Fallout: New Vegas,5000000,9.99,60122,2865,62987,95.5,Action,RPG,29
Geometry Dash,2000000,3.99,48221,2460,50681,95.1,Action,,20
Dead Cells,2000000,24.99,19072,1077,20149,94.7,Action,,13
Divinity: Original Sin 2,2000000,44.99,30756,1808,32564,94.4,Adventure,RPG,7
The Elder Scrolls V: Skyrim,20000000,19.99,231133,14794,245927,94,RPG,,20
Team Fortress 2,50000000,0,487942,32269,520211,93.8,Action,,N/A
Enter the Gungeon,2000000,14.99,18450,1369,19819,93.1,Action,Adventure,19
Rise of the Tomb Raider,5000000,59.99,41296,3069,44365,93.1,Action,Adventure,22
Hacknet,5000000,9.99,11356,899,12255,92.7,Simulation,,26
DOOM,5000000,19.99,61097,4863,65960,92.6,Action,,21
Dying Light,5000000,15.99,63911,5177,69088,92.5,Action,RPG,28
The Forest,5000000,19.99,95258,7969,103227,92.3,Action,Adventure,22
Path of Exile,10000000,0,57575,4891,62466,92.2,Action,Adventure,N/A
Rocket League,10000000,11.99,207753,17936,225689,92.1,Racing ,Action,27
American Truck Simulator,2000000,19.99,20419,1790,22209,91.9,Simulation,Driving,20
Cities: Skylines,5000000,29.99,57442,5048,62490,91.9,Simulation,Strategy,34
Farming Simulator 17,1000000,24.99,9506,847,10353,91.8,Simulation,,14
Warframe ,50000000,0,180850,16910,197760,91.4,Action,,N/A
Insurgency,5000000,9.99,84528,8761,93289,90.6,Action,Strategy,34
DARK SOULS™ III,5000000,59.99,81895,8579,90474,90.5,Action,,13
Unturned,50000000,0,283598,29800,313398,90.5,Action,Adventure,N/A
Clicker Heroes,10000000,0,41603,4615,46218,90,RPG,Clicker,N/A
Arma 3,5000000,39.99,96640,11364,108004,89.5,Action,Simulation,32
Grand Theft Auto: San Andreas,5000000,14.99,23451,2892,26343,89,Action,,26
Counter-Strike: Global Offensive,50000000,14.99,2366012,301678,2667690,88.7,Action,FPS,23
Killing Floor 2,2000000,29.99,52048,7379,59427,87.6,Action,,30
Crusader Kings II,5000000,39.99,25523,3748,29271,87.2,RPG,Strategy,44
Dota 2,200000000,0,800037,118043,918080,87.1,Action,Strategy,N/A
Total War: WARHAMMER II,2000000,59.99,12544,1852,14396,87.1,Action,Strategy,8
VRChat,5000000,0,16110,2396,18506,87.1,Simulation,Casual,N/A
Space Engineers,5000000,24.99,56759,8920,65679,86.4,Action,Simulation,24
The Descendant,1000000,14.99,1340,215,1555,86.2,Adventure,Casual,12
Sniper Elite 4,1000000,59.99,7835,1348,9183,85.3,Action,Adventure,10
Assassin's Creed Origins,2000000,59.99,27090,4798,31888,85,Action,Adventure,10
Brawlhalla,10000000,0,61532,11451,72983,84.3,Action,,N/A
Paladins,20000000,0,152494,28940,181434,84,Action,,N/A
Hearts of Iron IV,1000000,39.99,23138,4465,27603,83.8,Simulation,Strategy,20
PAYDAY 2,20000000,9.99,291861,56552,348413,83.8,Action,RPG,32
Europa Universalis IV,2000000,39.99,34457,7383,41840,82.4,Simulation,Strategy,39
SMITE,10000000,0,31476,7008,38484,81.8,Action,,N/A
7 Days to Die,5000000,24.99,54331,12911,67242,80.8,Action,RPG,25
War Thunder,20000000,0,75130,17978,93108,80.7,Action,Simulation,N/A
Yakuza 0,200000,19.99,3334,802,4136,80.6,Action,RPG,1
Tom Clancy's Rainbow Six Siege,10000000,14.99,186873,45844,232717,80.3,Action,FPS,23
Dirty Bomb,10000000,0,41589,10295,51884,80.2,Action,,N/A
Rust,10000000,34.99,196019,48957,244976,80,RPG,Survival,12
Trove,10000000,0,45592,13259,58851,77.5,Adventure,RPG,N/A
Stellaris,2000000,39.99,27911,8316,36227,77,Simulation,Strategy,22
Yu-Gi-Oh! Duel Links,2000000,0,5716,1858,7574,75.5,Strategy,,N/A
Dead by Daylight,5000000,19.99,109554,35751,145305,75.4,Action,,17
Black Squad,10000000,0,25433,8721,34154,74.5,Action,,N/A
Deceit,2000000,0,13718,4849,18567,73.9,Action,,N/A
The Elder Scrolls V: Skyrim Special Edition,10000000,39.99,39912,14211,54123,73.7,RPG,,14
The Elder Scrolls Online,2000000,19.99,27842,9937,37779,73.7,RPG,,26
Just Cause 3,2000000,29.99,30618,12352,42970,71.3,Action,Adventure,21
Hunt Showdown,1000000,29.99,13726,5574,19300,71.1,Action,,5
Warface,10000000,0,30029,12978,43007,69.8,Action,,N/A
World of Tanks Blitz,5000000,0,10475,4564,15039,69.7,Action,,N/A
Fallout 4,5000000,29.99,99255,43943,143198,69.3,RPG,,21
Grand Theft Auto V,10000000,29.99,280444,131667,412111,68.1,Action,Adventure,40
ARK: Survival Evolved,10000000,59.99,129683,61567,191250,67.8,Survival,Adventure,30
Tom Clancy's The Division,5000000,49.99,44071,23182,67253,65.5,Action,Adventure,18
Realm Royale,5000000,0,12600,6941,19541,64.5,Action,,N/A
Football Manager 2018,500000,49.99,3716,2347,6063,61.3,Sports,Simulation,6
Call of Duty: Black Ops III,2000000,59.99,35118,22974,58092,60.5,Action,Adventure,16
For Honor,5000000,14.99,21014,18519,39533,53.2,Action,,11
PLAYERUNKNOWN'S BATTLEGROUNDS,100000000,29.99,437676,423863,861539,50.8,Action,Survival,1
No Man's Sky,2000000,59.99,53935,56415,110350,48.9,Action,Adventure,11
MONSTER HUNTER: WORLD,5000000,59.99,22140,31877,54017,41,Action,,2
The Walking Dead,5000000,14.99,44609,1460,46069,96.8,Adventure,RPG,25
Assassin's Creed Odyssey,500000,59.99,2146,835,2981,72.0,Action,Adventure,0
The Conjuring House,20000,24.99,116,56,172,67.4,Horror,Adventure,1
Two Point Hospital,500000,34.99,3444,829,4273,80.6,Simulation,,1
Hitman,2000000,0,19243,5318,24561,78.3,Action,,N/A
